author,introduction,name
Excel Home,借助ChatGPT与Python轻松实现办公自动化：Excel Home多位微软全球MVP专家打造，用大量实例介绍使用Python操作Excel、Word、PPT和日常办公中涉及的各种对象。让没有编程经验的普通办公人员也能驾驭Python，实现多个场景的办公自动化，提升工作效率！, Python自动化办公应用大全（ChatGPT版）：从零开始教编程小白一键搞定烦琐工作（上下册）
无作者信息,无简介信息, Python编程三剑客第3版：Python编程从入门到实践第3版+快速上手第2版+极客项目编程（当当套装共3册）
无作者信息,无简介信息, 大话Python机器学习实战手册 chatgpt聊天机器人 python深度学习人工智能丛书 机器学习方法 python
[美] Mahesh Venkitachalam,Python 是一种强大的编程语言，容易学习而且充满乐趣。但掌握了基本知识后，接下来做什么？ 本书包含了一组富有想象力的编程项目，它们将引导你用Python 来制作图像和音乐、模拟现实世界的现象，并与 Arduino 和树莓派这样的硬件进行交互。你将学习使用常见的Python 工具和库，如numpy、matplotlib 和pygame， 来完成以下工作： ● 利用参数方程和turtle模块生成万花尺图案； ● 通过模拟频率泛音在计算机上创作音乐； ● 将图形图像转换为ASCII文本图形； ● 编写一个三维立体画程序，生成隐藏在*图案下的3D图像； ● 通过探索粒子系统、透明度和广告牌技术，利用OpenGL着色器制作逼真的动画； ● 利用来自CT和MRI扫描的数据实现3D可视化； ● 将计算机连接到Arduino编程，创建响应音乐的激光秀。 通过本书，你可以享受作为极客的真正乐趣！, Python极客项目编程
[巴西]卢西亚诺,流畅的Python 由奋战在Python开发一线近20年的Luciano Ramalho执笔，Victor Stinner、Alex Martelli等Python大咖担纲技术审稿人，从语言设计层面剖析编程细节，兼顾Python 3和Python 2，告诉你Python中不亲自动手实践就无法理解的语言陷阱成因和解决之道，教你写出风格地道的Python代码。 ● Python数据模型：理解为什么特殊方法是对象行为一致的关键。 ● 数据结构：充分利用内置类型，理解Unicode文本和字节二象性。 ● 把函数视作对象：把Python函数视作一等对象，并了解这一点对流行的设计模式的影响。 ● 面向对象习惯用法：通过构建类学习引用、可变性、接口、运算符重载和多重继承。 ● 控制流程：学习使用上下文管理器、生成器、协程，以及通过concurrent.futures和asyncio包实现的并发。 ● 元编程：理解特性、描述符、类装饰器和元类的工作原理。, 流畅的Python
[美]阿尔?斯维加特（AlSweigart）,畅销经典的匠心译著，原版图书美亚评分4.7星，被150 高校选用，高分佳作的全新升级，初版译著豆瓣评分8.9分，扫码看视频，边看边学，扫描书中二维码，观看为本书量身定制的教学视频, Python编程快速上手 让繁琐工作自动化 第2版
[美] Mahesh Venkitachalam,关联推荐 开发有趣的极客项目，掌握实用的Python编程技能, 【旗舰店正版】 Python极客项目编程 Python编程开发Python基础教程
Luciano Ramalho,附有主题相关高质量参考文献和视频链接//兼顾Python 3和Python 2, [北京发货] 流畅的Python PSF研究员 PyCon演讲者之作 全面深入
[美]韦斯·麦金尼（Wes McKinney）,阅读本书可以获得一份关于在Python下操作、处理、清洗、规整数据集的完整说明。本书第二版针对Python 3.6进行了更新，并增加实际案例向你展示如何高效地解决一系列数据分析问题。你将在阅读过程中学 到最新版本的pandas、NumPy、IPython和Jupyter。 本书由Wes McKinney创作，他是Python pandas项目的创始人。本书是对Python数据科学工具的实操化、现代化的介绍，非常适合刚学Python的数据分析师或刚学数据科学以及科学计算的Python编程者。数据文件和相关的材料可以在GitHub上找到： 使用IPython shell和Jupyter notebook进行探索性计算 学 NumPy(Numerical Python)的基础和高级特性 入门pandas库中的数据分析工具 使用灵活工具对数据进行载入、清洗、变换、合并和重塑 使用matplotlib创建富含信息的可视化 将pandas的groupby功能应用于对数据集的切片、分块和汇 分析并操作规则和不规则的时间序, 包邮 利用Python进行数据分析（原书第2版） 限购|8050025
埃里克·马瑟斯,无简介信息, Python编程 从入门到实践 第3版
王爱胜,这是一本别出心裁的Python编程书，以武侠故事为主体呈现编程知识，凝聚了特级教师多年一线教学的宝贵经验和数十年编程教育的方法精华，为程序、算法、计算思维赋予了灵魂，对Python编程进行了全新的演绎，新颖、新奇，让读者爱不释手！, 编程江湖——Python篇（青少年版）
[美]伊亚尔·沃桑斯基(Eyal Wirsansky) 著 吴虎胜 朱利 江川 吕龙 译,通过本书，读者可以： 了解如何使用Python工具创建基于遗传算法的应用程序。 利用遗传算法优化函数，并解决规划和调度问题。 提升机器学习模型的性能，优化深度学习网络结构。 基于工具包Open AI Gym将遗传算法应用于强化学习。 探索其他生物启发方法，包括遗传规划和粒子群优化等。, 基于Python实现的遗传算法
[澳大利亚]凯莱布 哈廷（Caleb Hattingh）,一句话推荐 本书介绍了Python异步编程的基础知识，并且教你编写多任务脚本。 编辑推荐 如果你是那些被asyncio异步特性的复杂度所劝退的Python开发者之一的话，那么是时候需要重新审视一下了。异步的复杂性，旨在它需要同时解决框架和终端开发者层面面临的并发网络编程问题。你需要考虑的特性功能只是整个anyncio API很小的一个子集，但是选对正确的功能仍然是一件棘手的事情。这也是我们编写这本实用书的原因。 资深Python开发人员Caleb Hattingh将帮助你更好地理解异步构建领域的基础知识，足以开始编写简单的基于事件的程序。你会了解为什么asyncio提供了比抢占式多任务（线程）更安全的替代方案，以及异步API如何通过简单的方法就可以支持数千个同时套接字连接的。 专家推荐 在开发者的工具箱中，异步编程是其中*强大的工具之一。但是它对于新人来说也, Python异步编程
王国平,下载案例素材，边学边练 超多实用案例，学以致用 数据处理量更大，文件处理更快，让工作更高效！ Excel数据自动化处理、Word文本自动化处理、PPT自动化制作、邮件自动化处理、文件自动化处理全攻略！, Python+Office：轻松实现Python办公自动化
袁霄,量化交易不神秘，Python教你必杀技，本书教你从0到1构建量化交易平台, Python股票量化交易从入门到实践 股票炒股书籍趋势技术分析入门基础知识 量化投资金融大数据风控金
杨年华,顺序渐进地从Python基础知识、数据分析与可视化基础到机器学习进行讲解。案例丰富、结构清晰、简单明了。适合作为本科高年级或研究生相关课程的教材，也适合作为工程技术人员的参考书。配套微课视频、教学课件、源代码等资源。, Python数据分析与机器学习（微课视频版）
[美]保罗·奥兰德（Paul Orland）,1.500余幅图片，本书以图文结合的方式帮助你用Python代码解决程序设计中的数学问题。 2.300余个练习，通过边学边练，你会发现线性代数和微积分的重要概念跃然纸上、印在脑中。 3.提供配套源代码和本书彩色图片下载。 数学拥有无穷的力量。它既帮助游戏开发工程师建模物理世界，也帮助量化金融分析师赚取利润，还帮助音频处理工程师制作音乐。在数据科学和机器学习领域，数学知识更是不可或缺的。 有人热爱数学，将它比作诗歌，为之着迷一生；有人很难领会数学的妙处，受困于 数学焦虑症 。本书正是为了帮助程序员消除这种焦虑，用自己熟悉的工具，即代码，重新发现数学之美。 向量几何和计算机图形 矩阵和线性变换 微积分的核心概念 仿真和优化 图像处理和音频处理 用于回归和分类的机器学习算法 这本书循序渐进地介绍了程, 程序员数学 用Python学透线性代数和微积分
李宁,JetBrains大中华区市场部经理赵磊作序！超过300个实战案例，10万行源代码，22个综合实战项目，海量学习资料，1000套中英文简历模板。全书内容涵盖： 李宁 私房菜谱 ? Python爬虫基础知识 ? Python网络库 ? Python解析库 ? Python数据存储 ? Python异步数据抓取 ? Python移动App数据抓取 ? Python可见即可爬 ? Python Scrapy实战 ? Python项目实战 李宁 实战项目 ? 抓取小说目录与正文 ? 抓取豆瓣网图书榜单 ? 抓取房屋租赁信息 ? 抓取豆瓣网音乐排行榜 ? 抓取百度网站图片搜索中的图片 ? 抓取QQ空间说说 ? 可视化爬虫抓取和分析当当网图书评论, Python爬虫技术——深入理解原理、技术与开发
[日] 我妻 幸长 著,无简介信息, 用Python编程和实践！数学教科书 机器学习 chatgpt聊天机器人 深度学习中必要的基础知识 人工智能 数学基础书
孙玉胜 陈锐 张志锋,本书助您掌握Python数据结构与算法，精通Python语言编程。 本书配套示例源码、PPT课件、开发环境、 微课同步教学视频、作者QQ群答疑 。 本书适合想要精通Python编程的初学者和技术人员，包括Web开发、网络爬虫、游戏开发、自动化运维、人工智能、大数据等方向的从业人员。 本书可作为高等院校计算机、软件工程、大数据等相关专业学生学习数据结构与算法的教材。 本书可以与《Python编程从零开始学（视频教学版）》配套使用： 《Python编程从零开始学（视频教学版）》(王英英)【简介_书评_在线阅读】 - 当当图书 (dangdang.com), Python数据结构与算法（视频教学版）
王英英,本书用于Python 3.10编程快速入门，书中内容注重实战操作，可以帮助读者循序渐进地掌握Python编程技术，并为深入学习Web开发、网络爬虫、游戏开发、自动化运维、大数据分析与挖掘、人工智能、云计算等打下牢固的基础。 本书可以与《Python数据结构与算法（视频教学版）》配套使用 《Python数据结构与算法（视频教学版）》(孙玉胜 陈锐 张志锋)【简介_书评_在线阅读】 - 当当图书 (dangdang.com), Python编程从零开始学（视频教学版）
刘兴禄、熊望祺、臧永森、段宏达、曾文佳、陈伟坚,《运筹优化常用模型、算法及案例实战》主要讲述运筹优化领域常用的数学模型、精确算法以及相应的代码实现。, 运筹优化常用模型、算法及案例实战——Python+Java实现
[日] FLOC 著,本书是日本著名的 FLOC区块链大学 编写的一本概括介绍性书籍，用Python示例解释了区块链机制和基础技术，介绍了区块链如何与Python协同工作。 本书用通俗易懂的语言、结合图示和代码，系统介绍了区块链技术的大框架，并将重点放在理解 框架 所必需的内容，可以让读者对区块链技术有一个整体认识并掌握区块链技术的基础知识，引领读者快速入门，并为后续深入学习区块链技术奠定基础。 本书以零基础读者为基础，引导读者一步步用Python创建出具备基础功能的区块链程序，加深对区块链技术的理解。 每章后都设置有课后练习题，引导读者积极思考，巩固所学内容，提高动手能力。 本书采用双色印刷，版式精美，学习不枯燥。 本书特色 以培养区块链工程师、介绍人力资源和提供职业支持而闻名的FLOC，和由该公司运营的FLOC区块链大学, 日系图书用Python编程和实践！区块链教科书 从零创建简单区块链程序 比特币 元宇宙 数字货币 新金融底层技术 p2p
崔庆才,无简介信息, Python3网络爬虫开发实战 第2二版 崔庆才网络数据采集抓取处理分析书籍教程网络爬虫项目开发动态
明日科技 编著,1.本书内容全面，基础 案例 项目实战； 2.本书内容保证新版python案例，读者能够学到全新的方法和代码及案例； 3.本书配套资源非常丰富，源码 视频 电子书等； 4.本书配有读者交流群，作者答疑迅速准确，和同伴一起学习的快乐就此拥有； 5.本书双色印刷，设计细致考究；, 快速上手Python：基础·进阶·实战
夏正东,同时汇集了数据搜集、数据清洗、数据分析和数据可视化的相关技术，并且对数据分析中的每个过程均进行了详尽、深入地讲解，并搭配多个实用性极强的示例代码，生动的阐述了每项技术的核心奥秘。 各章节衔接紧密，且内容精炼不拖沓，读者只需按照作者的编排思路循序渐进的学习，相信可以在较短的时间内轻松掌握数据分析的全过程。, Python全栈开发——数据分析
王印,★ 资深网络老兵、知乎专栏 网路行者 作者联合 网工手艺 作者全新打造 ★ 面向Python零基础网工的Go-To Book再版升级，基于Python 3.10 ★ 新增TextFSM、Netmiko、Nornir、NETCONF、RESTCONF等内容，知识点更全 ★ 从基础知识到实战应用，作者手把手教学，逐步引导，可作为教学用书 ★ 13种Python语法知识全覆盖，助力传统网工轻松转型 ★ 10余种Python网络运维相关模块，举例介绍更多实用工具 ★ 60余个实验，覆盖模拟器及真机（思科和华为设备），实用性更强 ★ 加入微信读者群，与万千网工共同学习Python知识 ★ 更有作者亲自指导，为网络工程师营造 自学自驱 学习氛围, 网络工程师的Python之路：网络运维自动化实战（第2版）
[美]舍温·约翰·C.特拉古拉 著 王婷 译,《利用FastAPI构建Python微服务》将向你详细介绍FastAPI框架及其组件，以及如何联合应用这些组件与一些第三方工具来构建微服务应用程序。读者需要具备一些Python编程背景、API开发原理知识以及对创建企业级微服务应用程序背后原理的理解。这不仅仅是一本参考用书，它还提供一些代码蓝图，在阐释和演示各章主题的同时，还可以帮助开发人员解决实际应用问题。, 利用FastAPI构建Python微服务
王维波 栗宝鹃 张晓东,PyQt5是Qt 5 C 类库的Python绑定，使用PyQt5可以在Python 中开发专业的GUI 应用程序。本书介绍PyQt5开发Python GUI应用程序的编程方法，还介绍在GUI 程序中嵌入二维和三维数据可视化功能的编程方法，特别是将Matplotlib 嵌入GUI 界面的面向对象编程方法。 本书包含大量完整示例程序，使学习过程具有可跟随性和可操作性，适合具有Python编程基础，需要使用Python设计GUI应用程序，或在GUI应用程序中嵌入数据可视化功能的读者。 本书主要内容包括： ● 基于PyQt5的GUI应用程序的技术框架和工具软件的使用； ● GUI程序设计中常用界面组件和功能模块的使用； ● 使用PyQtChart、PyQtDataVisualization、Matplotlib在GUI程序中嵌入二维和三维数据可视化功能的编程方法。, Python Qt GUI与数据可视化编程
"[美]延斯·阿尔布雷希特,[美]西达尔特·拉马钱德兰,[美]克里斯蒂安·温克勒",将文本转换成有价值的信息是企业寻求竞争优势的关键。随着近年来自然语言处理（NLP）的发展，如今用户可以通过各种方式来解决复杂的难题。但用户不清楚选择何种NLP工具或库才能满足业务需求，他们不知道应该使用何种技术以及按照怎样的顺序使用这些技术。 这本实战手册为数据科学家和开发人员提供了文本分析与自然语言处理中常见任务的实践解决方案。书中介绍了各种Python真实案例研究，并提供了详细的代码示例，可以帮助你快速入门。, O'Reilly：Python文本分析
吴佳 于仕琪,这是一本OpenCV中国团队出品的实践教材，面向本科院校 计算机视觉 实践课。 本教材主要的特点是： 1.以前沿的算法应用为主，不再花篇幅介绍一些过时的算法。 2.软件采用开源计算机视觉库OpenCV，通用性高，有利学生就业。 3.编程语言采用Python，易于编写和调试，学生可以专注在知识点上面，避免耗费太多时间在配置开发环境和调试程序上。, 图像处理与计算机视觉实践——基于OpenCV和Python
徐海望,《ROS 2机器人编程实战：基于现代C++和Python 3》融合了一线机器人工程师多年工作经验，精心选取的大量实例项目，手把手带领读者玩转ROS 2。循序渐进、由浅入深，书中配有二维码视频，使读者身临其境，迅速、深入地掌握各种经验和技巧。, ROS 2机器人编程实战：基于现代C++和Python 3
中国电子学会,无简介信息, Python编程入门与算法进阶
童晶,少儿编程入门教程，青少年编程真好玩，中小学生自学编程，12款精彩小游戏，编程猫推荐的少儿编程读物带领孩子轻松学会Python编程，全彩印刷，提供源代码、游戏素材、效果演示、教学视频, Python游戏趣味编程 少儿编程入门教程书籍青少年编程真好玩中小学编程自学Python少儿趣味编程
保罗·奥兰德,无简介信息, 程序员数学 用Python学透线性代数和微积分 用Python学数学程序员的数学基础课算法几何学微积
伊夫·希尔皮斯科,详细讲解使用Python分析处理金融大数据的专业图书，将人工智能应用于金融开发的实战指南，金融应用开发领域从业人员的读物, Python金融大数据分析 第二2版 金融数据科学算法交易量化金融计算入门书籍 金融科技计算机
吕云翔,Python, Python基础教程 附教学视频 大学教材
弗朗索瓦·肖莱,无简介信息, Python深度学习第2二版 机器学习自然语言处理python人工智能入门书籍 keras运算kag
何华平,Python编程快速上手Python编程从入门到实践更适合国内职场人的内版编程书让Excel、word、PDF、PPT飞起来, 学Python不加班 轻松实现办公自动化 编程基础入门实践教程 Excel办公
麦叔,无简介信息, Python办公效率手册 麦叔 Python办公自动化 Python编程入门到实战学Python*加
张骞,Python语言拥有丰富的针对数学的扩展库：NumPy库支持高维度矩阵运算，内含大量针对数组运算的函数。Matplotlib为Python语言提供了绘图扩展；SciPy库支持线性代数、微积分、概率统计等；SymPy库使得Python语言能够支持符号计算。本书从Python的基本用法到数学问题的背景、原理及实际用法等都介绍得简明易懂。在熟悉Python的基本语法结构之后，如果能够熟练掌握这些库的使用方法，则在日后的工作和学习中，完全可以使用Python来处理遇到的数学问题。, Python玩转数学问题——轻松学习NumPy、SciPy和Matplotlib
日本Lombard 增田 秀人 著,Python是一款非常强大、易学易用的数据处理和数据分析工具，而大量第三方软件库的支持，更是使其成为人工智能时代非常重要的编程工具。pandas就是一款非常重要的基于NumPy的Python数据分析软件库，它提供了大量能快速便捷处理数据的函数和方法，提供了高效操作大型数据集的工具，通过pandas和Python，可以顺利完成数据科学、机器学习或日常工作中的几乎所有数据分析任务。本书就利用pandas，结合简单易懂的示例代码，对机器学习和数据科学领域数据预处理的知识和各种预处理方法进行了透彻、全面的讲解。学完本书，你会发现Python之所以在数据处理和分析领域如此强大，pandas是其重要的影响因素之一。 1.用浅显易懂的语言，全面介绍pandas的使用方法和应用技巧。 2.用简洁清晰的代码，结合日常工作中需要处理数据的实际场景，学习pandas的实际用法，掌握解决实, pandas数据预处理详解日系图书 python机器学习 chatgpt聊天机器人 深度学习 大数据处理 数据分析 人工
赵军 刘文婷,无简介信息, Python医学数据分析入门 Python语言程序设计及医学应用python3.8医学统计医学数据挖
刘瑜 著,"机器语言众多，为什么学Python? Python是人工智能和机器学习的*编程语言: 1. 拥有众多出色的第三方库，与操作系统完美集成。 2. 提供社区支持，增加了其在数据科学和科学计算中的应用。 3. 是一门理想的集成语言、 胶水 语言,将各种技术绑定在一起。 4. 代码简洁，容易阅读和学习,准入门槛低。 5. 是高级的脚本语言，更适合AI和机器学习。 6. 是功能强大的解释型编程语言，高效率的高层数据结构，能够简单而有效地实现面向对象编程。 7. 良好的可视化选项，提供了一些很好的可视化工具。 8. *重要和*受欢迎的直接原因是，其Numpy和Scipy库能够支持Scikit-Learn这样的项目，这几乎是目前解决机器学习问题所需的标准配置。 《Python编程从数据分析到机器学习实践（微课视频版）》是继《Python编程从零基础到项目实战（微课视频版）》之后的Python编程进阶图书，主要", Python编程从数据分析到机器学习实践（微课视频版）利用python进行数据分析 精益数据分析 深入浅出数据分析 py
